FID,osmid,y,x,highway,street_cou,ref
2587,340064896.000000000000000,39.937827200000001,116.410615199999995, ,3.000000000000000, 
2588,340065253.000000000000000,39.934123100000001,116.376523000000006, ,3.000000000000000, 
2589,340065261.000000000000000,39.936740899999997,116.373238799999996, ,3.000000000000000, 
2590,340065311.000000000000000,39.935256199999998,116.373390700000002, ,3.000000000000000, 
2591,340065331.000000000000000,39.933450299999997,116.366738100000006, ,3.000000000000000, 
2592,340065371.000000000000000,39.933932400000003,116.373577699999998,traffic_signals,4.000000000000000, 
2593,340065462.000000000000000,39.938739599999998,116.373017700000005, ,3.000000000000000, 
2594,340065489.000000000000000,39.937958999999999,116.373106000000007, ,3.000000000000000, 
2595,340068781.000000000000000,39.895897599999998,116.388204599999995, ,3.000000000000000, 
2596,340110747.000000000000000,39.887879800000000,116.391714600000000, ,1.000000000000000, 
2597,340238352.000000000000000,39.892058499999997,116.401308000000000, ,1.000000000000000, 
2598,340238514.000000000000000,39.885711499999999,116.381631100000007, ,3.000000000000000, 
2599,340238516.000000000000000,39.884814700000000,116.381708099999997, ,4.000000000000000, 
2600,340238739.000000000000000,39.887722699999998,116.373681199999993, ,3.000000000000000, 
2601,340238771.000000000000000,39.881791399999997,116.371961799999994, ,3.000000000000000, 
2602,340239097.000000000000000,39.881762199999997,116.374111600000006, ,3.000000000000000, 
2603,340239120.000000000000000,39.886273099999997,116.375398599999997, ,1.000000000000000, 
2604,340239122.000000000000000,39.883810599999997,116.375533000000004, ,1.000000000000000, 
2605,340239178.000000000000000,39.886315099999997,116.381701300000003, ,3.000000000000000, 
2606,340240853.000000000000000,39.893628800000002,116.392488700000001, ,4.000000000000000, 
2607,340240855.000000000000000,39.893710300000002,116.393113600000007, ,3.000000000000000, 
2608,340240859.000000000000000,39.893634700000000,116.394147799999999, ,4.000000000000000, 
2609,340240868.000000000000000,39.891825400000002,116.397109000000000, ,3.000000000000000, 
2610,340243272.000000000000000,39.916198299999998,116.426726599999995, ,3.000000000000000, 
2611,340244224.000000000000000,39.946753800000003,116.393186299999996, ,1.000000000000000, 
2612,340245255.000000000000000,39.935391000000003,116.384027000000003, ,1.000000000000000, 
2613,340245488.000000000000000,39.938011699999997,116.384518499999999, ,3.000000000000000, 
2614,340245798.000000000000000,39.937552500000002,116.387607099999997, ,1.000000000000000, 
2615,340245854.000000000000000,39.936042000000000,116.388801700000002, ,3.000000000000000, 
2616,340245929.000000000000000,39.944087000000003,116.374678200000005, ,1.000000000000000, 
2617,340245930.000000000000000,39.944089200000001,116.374898099999996, ,3.000000000000000, 
2618,340245973.000000000000000,39.943319899999999,116.373290400000002, ,3.000000000000000, 
2619,340246241.000000000000000,39.942605100000002,116.373833200000007, ,1.000000000000000, 
2620,340246781.000000000000000,39.933499300000001,116.378206000000006, ,1.000000000000000, 
2621,340246784.000000000000000,39.932339200000001,116.378464699999995, ,3.000000000000000, 
2622,340247232.000000000000000,39.932361399999998,116.375109600000002, ,1.000000000000000, 
2623,340247549.000000000000000,39.933415199999999,116.376570700000002, ,2.000000000000000, 
2624,340249784.000000000000000,39.941140300000001,116.371462600000001, ,3.000000000000000, 
2625,340250354.000000000000000,39.947156800000002,116.369130799999994, ,3.000000000000000, 
2626,340251366.000000000000000,39.945486899999999,116.405387800000000, ,1.000000000000000, 
2627,340251529.000000000000000,39.947252599999999,116.402509499999994, ,3.000000000000000, 
2628,340253191.000000000000000,39.941183600000002,116.419385399999996, ,4.000000000000000, 
2629,340253247.000000000000000,39.941798100000000,116.415076400000004, ,1.000000000000000, 
2630,340253591.000000000000000,39.946721099999998,116.413471400000006, ,1.000000000000000, 
2631,340253594.000000000000000,39.946268699999997,116.412902799999998, ,1.000000000000000, 
2632,340254039.000000000000000,39.945889500000000,116.419250500000004, ,3.000000000000000, 
2633,340254110.000000000000000,39.946903300000002,116.419221399999998, ,3.000000000000000, 
2634,340255344.000000000000000,39.931185800000002,116.410952100000003, ,3.000000000000000, 
2635,340262957.000000000000000,39.987571000000003,116.410544999999999, ,3.000000000000000, 
2636,340262995.000000000000000,39.957804699999997,116.412294799999998,traffic_signals,4.000000000000000, 
2637,340411596.000000000000000,39.966119700000000,116.354669400000006, ,3.000000000000000, 
2638,340411703.000000000000000,39.963496999999997,116.348620400000001,motorway_junction,3.000000000000000, 
2639,340411709.000000000000000,39.963998599999996,116.364118800000000, ,3.000000000000000, 
2640,340412559.000000000000000,40.008417399999999,116.368824599999996,traffic_signals,4.000000000000000, 
2641,340412560.000000000000000,40.008279600000002,116.366293799999994, ,3.000000000000000, 
2642,340412709.000000000000000,40.006298399999999,116.335361100000000,traffic_signals,4.000000000000000, 
2643,340412815.000000000000000,40.006954600000000,116.452057699999997,traffic_signals,5.000000000000000, 
2644,340412818.000000000000000,40.007134700000002,116.456733200000002,traffic_signals,4.000000000000000, 
2645,340417047.000000000000000,39.946692400000003,116.389117299999995, ,1.000000000000000, 
2646,340417468.000000000000000,39.868230900000000,116.358006500000002, ,3.000000000000000, 
2647,340417969.000000000000000,39.881889399999999,116.368109899999993, ,4.000000000000000, 
2648,340418010.000000000000000,39.881869100000003,116.368349600000002, ,5.000000000000000, 
2649,340418735.000000000000000,39.877443300000003,116.376514099999994, ,3.000000000000000, 
2650,340418736.000000000000000,39.877199599999997,116.370821300000003, ,3.000000000000000, 
2651,340419857.000000000000000,39.906221299999999,116.180343899999997,traffic_signals,4.000000000000000, 
2652,341182149.000000000000000,39.923855400000001,116.393357499999993, ,3.000000000000000, 
